id,code,description
ae_sv_01111,01111,Cultivo de maíz y otros cereales (excepto arroz y cereales para forrajes)
ae_sv_01112,01112,Cultivo de fríjol y otras legumbres
ae_sv_01113,01113,Cultivo de semillas oleaginosas
ae_sv_01114,01114,Cultivo de plantas para la preparación de semillas de cereales
ae_sv_01119,01119,Cultivo de cereales (excepto arroz) legumbres y semillas oleaginosas n.c.p.
ae_sv_01120,01120,Cultivo de arroz
ae_sv_01131,01131,Cultivo de raíces y tubérculos
ae_sv_01132,01132,Cultivo de hortalizas de raíces bulbosas o tuberosas
ae_sv_01133,01133,Cultivo de hortalizas de fruto
ae_sv_01134,01134,Cultivo de hortalizas de hoja tallo o flor
ae_sv_01139,01139,Cultivo de hortalizas y melones raíces y tubérculos n.c.p.
ae_sv_01140,01140,Cultivo de caña de azúcar
ae_sv_01150,01150,Cultivo de tabaco
ae_sv_01160,01160,Cultivo de plantas de fibras vegetales
ae_sv_01191,01191,Cultivo de plantas no perennes para la producción de semillas y flores
ae_sv_01192,01192,Cultivo de cereales y pastos para la alimentación animal
ae_sv_01199,01199,Cultivos de plantas no perennes n.c.p.
ae_sv_01220,01220,Cultivo de frutas tropicales
ae_sv_01230,01230,Cultivo de cítricos
ae_sv_01240,01240,Cultivo de frutas de pepita y hueso
ae_sv_01250,01250,Cultivo de otros frutos y nueces de árboles y arbustos
ae_sv_01260,01260,Cultivo de coco y otros frutos oleaginosos
ae_sv_01271,01271,Cultivo de café
ae_sv_01272,01272,Cultivo de cacao
ae_sv_01279,01279,Cultivo de plantas para la elaboración de bebidas n.c.p.
ae_sv_01281,01281,Cultivo de especias y plantas aromáticas
ae_sv_01282,01282,Cultivo de plantas para la obtención de productos medicinales y farmacéuticos
ae_sv_01289,01289,Cultivo de especias y plantas aromáticas medicinales y farmacéuticas n.c.p.
ae_sv_01292,01292,Cultivo de plantas para la obtención de colorantes
ae_sv_01293,01293,Cultivo de plantas para la obtención de material vegetal trenzable
ae_sv_01299,01299,Cultivo de otras plantas perennes n.c.p.
ae_sv_01300,01300,Propagación de plantas
ae_sv_01410,01410,Cría engorde reproducción de ganado bovino y producción de leche cruda
